title,text,label
"Government launches new education scheme","The government announced a new education scheme to provide digital learning resources to students.","REAL"
"Scientists publish new climate research","Researchers published a study about recent changes in global climate patterns.","REAL"
"University opens artificial intelligence research center","A university announced a new research center focused on artificial intelligence.","REAL"
"Health department announces vaccination campaign","The health department announced a vaccination campaign for children.","REAL"
"Railway authorities announce new train service","Railway authorities announced a new service connecting several cities.","REAL"
"Scientists discover magic food that gives unlimited energy","A viral post claims scientists discovered a magical food that gives humans unlimited energy.","FAKE"
"Drinking water makes people invisible","An online post claims that drinking special water can make people invisible.","FAKE"
"Government will give free cars to everyone","A social media message claims every citizen will receive a free car.","FAKE"
"Scientists discover pill that makes humans live 200 years","An unverified article claims researchers created a pill that allows humans to live for 200 years.","FAKE"
"Moon will disappear for three days","A viral post claims that the Moon will completely disappear from the sky for three days.","FAKE"
